	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
376	waverage	2-split-bal	2	bert	0.5463917525773195	87	10	78	19
377	waverage	0-split-dev	3	bert	0.6137787056367432	138	90	95	156
378	waverage	1-split-all	3	bert	0.5128205128205128	24	48	9	36
379	waverage	2-split-all	3	bert	0.7213114754098361	250	19	83	14
380	waverage	ALL	3	bert	0.6241345202769535	1877	1156	1124	1909
381	waverage	SAME	3	bert	0.6484650226472068	1704	351	1046	873
382	waverage	DIFF	3	bert	0.5779158699808795	173	805	78	1036
383	waverage	1-split-DIFF	3	bert	0.5128205128205128	24	48	9	36
384	waverage	2-split-SAME	3	bert	0.7846715328467153	215	0	59	0
385	waverage	2-split-DIFF	3	bert	0.532608695652174	35	19	24	14
386	waverage	0-split-dev-SAME	3	bert	0.6346153846153846	133	20	94	65
387	waverage	0-split-dev-DIFF	3	bert	0.5748502994011976	5	70	1	91
388	waverage	1-split-bal	3	bert	0.5777777777777777	16	29	9	36
389	waverage	2-split-bal	3	bert	0.5412371134020618	91	6	83	14
390	waverage	0-split-dev	4	bert	0.6471816283924844	148	80	89	162
391	waverage	1-split-all	4	bert	0.5128205128205128	25	47	10	35
392	waverage	2-split-all	4	bert	0.7349726775956285	256	13	84	13
393	waverage	ALL	4	bert	0.6465545664358721	1926	1107	1037	1996
394	waverage	SAME	4	bert	0.6675893306492199	1660	395	926	993
395	waverage	DIFF	4	bert	0.6065965583173997	266	712	111	1003
